month,day_of_month,day_of_week,op_unique_carrier,tail_num,dest,dep_delay,crs_elapsed_time,distance,crs_dep_m,dep_time_m,crs_arr_m,sch_dep,sch_arr,taxi_out,is_delayed,id
11,1,5,B6,N828JB,CHS,-1,124,636,324,323,448,9,17,14,0,1
11,1,5,B6,N992JB,LAX,-7,371,2475,340,333,531,9,17,15,0,2
11,1,5,B6,N959JB,FLL,40,181,1069,301,341,482,9,17,22,1,3
11,1,5,B6,N999JQ,MCO,-2,168,944,345,343,513,9,17,12,0,4
11,1,5,DL,N880DN,ATL,-4,139,760,360,356,499,9,17,13,0,5
11,1,5,AA,N983NN,ORD,-1,161,740,359,358,460,9,17,21,0,6
11,1,5,AA,N107NN,LAX,-1,373,2475,360,359,553,9,17,26,0,7
11,1,5,B6,N274JB,BUF,-5,80,301,365,360,445,17,21,11,0,8
11,1,5,B6,N663JB,LGB,0,368,2465,365,365,553,17,21,25,0,9
11,1,5,B6,N283JB,FLL,3,184,1069,370,373,554,17,21,29,0,10
11,1,5,B6,N962JT,LAS,-5,343,2248,381,376,544,17,21,26,0,11
11,1,5,AA,N901AN,DCA,-5,95,213,384,379,479,17,21,30,0,12
11,1,5,AA,N157UW,PHX,-4,336,2153,390,386,546,17,21,24,0,13
11,1,5,B6,N967JT,SFO,-3,388,2586,410,407,618,17,21,17,0,14
11,1,5,B6,N998JE,SJU,108,222,1598,301,409,523,17,21,16,1,15
11,1,5,DL,N703TW,SFO,-6,391,2586,420,414,631,17,21,16,0,16
11,1,5,DL,N192DN,SLC,-5,321,1990,419,414,620,17,21,25,0,17
11,1,5,DL,N362NB,BOS,-5,82,187,420,415,502,17,21,15,0,18
11,1,5,AA,N115NN,SFO,-3,386,2586,420,417,626,17,21,18,0,19
11,1,5,B6,N638JB,SAV,-2,143,718,419,417,562,17,21,14,0,20
11,1,5,B6,N292JB,SYR,-3,73,209,420,417,493,17,21,21,0,21
11,1,5,B6,N806JB,ATL,0,154,760,418,418,572,17,21,16,0,22
11,1,5,DL,N119DU,MSP,-2,187,1029,420,418,547,17,21,34,0,23
11,1,5,B6,N968JT,LAX,-7,379,2475,425,418,624,17,21,15,0,24
11,1,5,DL,N179DN,LAX,-1,365,2475,420,419,605,17,21,23,0,25
11,1,5,DL,N722TW,SEA,-2,373,2422,425,423,618,30,26,24,0,26
11,1,5,AA,N585UW,MIA,4,184,1089,420,424,604,30,26,24,0,27
11,1,5,AS,N526AS,SEA,-6,380,2422,430,424,630,30,26,19,0,28
11,1,5,AS,N557AS,PDX,-3,375,2454,445,442,640,30,26,20,0,29
11,1,5,B6,N584JB,TPA,-2,180,1005,447,445,627,30,26,13,0,30
11,1,5,B6,N273JB,BTV,6,75,266,455,461,530,30,26,11,0,31
11,1,5,B6,N324JB,ORD,-4,163,740,467,463,570,30,26,13,0,32
11,1,5,AA,N116AN,LAX,-6,376,2475,480,474,676,30,26,20,0,33
