temperature,dew_point,humidity,wind,wind_speed,wind_gust,pressure,condition,id
48,34,58,W,25,38,29.86,Fair / Windy,1
48,34,58,W,25,38,29.86,Fair / Windy,2
48,34,58,W,25,38,29.86,Fair / Windy,3
48,34,58,W,25,38,29.86,Fair / Windy,4
46,32,58,W,24,35,29.91,Fair / Windy,5
46,32,58,W,24,35,29.91,Fair / Windy,6
46,32,58,W,24,35,29.91,Fair / Windy,7
46,32,58,W,24,35,29.91,Fair / Windy,8
46,32,58,W,24,35,29.91,Fair / Windy,9
46,32,58,W,24,35,29.91,Fair / Windy,10
46,32,58,W,24,35,29.91,Fair / Windy,11
46,32,58,W,24,35,29.91,Fair / Windy,12
46,32,58,W,24,35,29.91,Fair / Windy,13
46,32,58,W,24,35,29.91,Fair / Windy,14
46,32,58,W,24,35,29.91,Fair / Windy,15
47,33,59,W,24,29,30,Fair / Windy,16
47,33,59,W,24,29,30,Fair / Windy,17
47,33,59,W,24,29,30,Fair / Windy,18
47,33,59,W,24,29,30,Fair / Windy,19
47,33,59,W,24,29,30,Fair / Windy,20
47,33,59,W,24,29,30,Fair / Windy,21
47,33,59,W,24,29,30,Fair / Windy,22
47,33,59,W,24,29,30,Fair / Windy,23
47,33,59,W,24,29,30,Fair / Windy,24
47,33,59,W,24,29,30,Fair / Windy,25
47,33,59,W,24,29,30,Fair / Windy,26
47,33,59,W,24,29,30,Fair / Windy,27
47,33,59,W,24,29,30,Fair / Windy,28
47,33,59,W,24,29,30,Fair / Windy,29
47,33,59,W,24,29,30,Fair / Windy,30
47,33,59,W,24,29,30,Fair / Windy,31
47,33,59,W,24,29,30,Fair / Windy,32
50,33,52,W,21,30,30,Fair / Windy,33
50,33,52,W,21,30,30,Fair / Windy,34
50,33,52,W,21,30,30,Fair / Windy,35
50,33,52,W,21,30,30,Fair / Windy,36
50,33,52,W,21,30,30,Fair / Windy,37
50,33,52,W,21,30,30,Fair / Windy,38
50,33,52,W,21,30,30,Fair / Windy,39
50,33,52,W,21,30,30,Fair / Windy,40
50,33,52,W,21,30,30,Fair / Windy,41
50,33,52,W,21,30,30,Fair / Windy,42
50,33,52,W,21,30,30,Fair / Windy,43
50,33,52,W,21,30,30,Fair / Windy,44
50,33,52,W,21,30,30,Fair / Windy,45
50,33,52,W,21,30,30,Fair / Windy,46
50,33,52,W,21,30,30,Fair / Windy,47
50,33,52,W,21,30,30,Fair / Windy,48
50,33,52,W,21,30,30,Fair / Windy,49
50,33,52,W,21,30,30,Fair / Windy,50
50,33,52,W,21,30,30,Fair / Windy,51
50,33,52,W,21,30,30,Fair / Windy,52
50,33,52,W,21,30,30,Fair / Windy,53
50,33,52,W,21,30,30,Fair / Windy,54
50,33,52,W,21,30,30,Fair / Windy,55
50,33,52,W,21,30,30,Fair / Windy,56
50,33,52,W,21,30,30,Fair / Windy,57
50,33,52,W,21,30,30,Fair / Windy,58
50,33,52,W,21,30,30,Fair / Windy,59
50,33,52,W,21,30,30,Fair / Windy,60
50,33,52,W,21,30,30,Fair / Windy,61
50,33,52,W,21,30,30,Fair / Windy,62
50,33,52,W,21,30,30,Fair / Windy,63
50,33,52,W,21,30,30,Fair / Windy,64
50,33,52,W,21,30,30,Fair / Windy,65
50,33,52,W,21,30,30,Fair / Windy,66
50,33,52,W,21,30,30,Fair / Windy,67
50,33,52,W,21,30,30,Fair / Windy,68
52,32,47,WNW,25,32,30.02,Fair / Windy,69
52,32,47,WNW,25,32,30.02,Fair / Windy,70
52,32,47,WNW,25,32,30.02,Fair / Windy,71
52,32,47,WNW,25,32,30.02,Fair / Windy,72
52,32,47,WNW,25,32,30.02,Fair / Windy,73
52,32,47,WNW,25,32,30.02,Fair / Windy,74
52,32,47,WNW,25,32,30.02,Fair / Windy,75
52,32,47,WNW,25,32,30.02,Fair / Windy,76
52,32,47,WNW,25,32,30.02,Fair / Windy,77
52,32,47,WNW,25,32,30.02,Fair / Windy,78
52,32,47,WNW,25,32,30.02,Fair / Windy,79
52,32,47,WNW,25,32,30.02,Fair / Windy,80
52,32,47,WNW,25,32,30.02,Fair / Windy,81
52,32,47,WNW,25,32,30.02,Fair / Windy,82
52,32,47,WNW,25,32,30.02,Fair / Windy,83
52,32,47,WNW,25,32,30.02,Fair / Windy,84
52,32,47,WNW,25,32,30.02,Fair / Windy,85
52,32,47,WNW,25,32,30.02,Fair / Windy,86
52,32,47,WNW,25,32,30.02,Fair / Windy,87
52,32,47,WNW,25,32,30.02,Fair / Windy,88
52,32,47,WNW,25,32,30.02,Fair / Windy,89
52,32,47,WNW,25,32,30.02,Fair / Windy,90
54,32,43,W,21,33,30.05,Fair / Windy,91
54,32,43,W,21,33,30.05,Fair / Windy,92
54,32,43,W,21,33,30.05,Fair / Windy,93
54,32,43,W,21,33,30.05,Fair / Windy,94
54,32,43,W,21,33,30.05,Fair / Windy,95
54,32,43,W,21,33,30.05,Fair / Windy,96
54,32,43,W,21,33,30.05,Fair / Windy,97
54,32,43,W,21,33,30.05,Fair / Windy,98
54,32,43,W,21,33,30.05,Fair / Windy,99
54,32,43,W,21,33,30.05,Fair / Windy,100
55,31,40,W,20,31,30.05,Fair,101
55,31,40,W,20,31,30.05,Fair,102
55,31,40,W,20,31,30.05,Fair,103
55,31,40,W,20,31,30.05,Fair,104
55,31,40,W,20,31,30.05,Fair,105
55,31,40,W,20,31,30.05,Fair,106
55,31,40,W,20,31,30.05,Fair,107
55,31,40,W,20,31,30.05,Fair,108
55,31,40,W,20,31,30.05,Fair,109
55,31,40,W,20,31,30.05,Fair,110
55,31,40,W,20,31,30.05,Fair,111
55,31,40,W,20,31,30.05,Fair,112
55,31,40,W,20,31,30.05,Fair,113
55,31,40,W,20,31,30.05,Fair,114
55,31,40,W,20,31,30.05,Fair,115
57,32,39,WNW,21,26,30.06,Fair / Windy,116
57,32,39,WNW,21,26,30.06,Fair / Windy,117
57,32,39,WNW,21,26,30.06,Fair / Windy,118
57,32,39,WNW,21,26,30.06,Fair / Windy,119
57,32,39,WNW,21,26,30.06,Fair / Windy,120
57,32,39,WNW,21,26,30.06,Fair / Windy,121
57,32,39,WNW,21,26,30.06,Fair / Windy,122
57,32,39,WNW,21,26,30.06,Fair / Windy,123
57,32,39,WNW,21,26,30.06,Fair / Windy,124
57,32,39,WNW,21,26,30.06,Fair / Windy,125
57,32,39,WNW,21,26,30.06,Fair / Windy,126
57,32,39,WNW,21,26,30.06,Fair / Windy,127
57,32,39,WNW,21,26,30.06,Fair / Windy,128
57,32,39,WNW,21,26,30.06,Fair / Windy,129
57,32,39,WNW,21,26,30.06,Fair / Windy,130
57,32,39,WNW,21,26,30.06,Fair / Windy,131
57,30,36,WNW,17,25,30.08,Fair,132
57,30,36,WNW,17,25,30.08,Fair,133
57,30,36,WNW,17,25,30.08,Fair,134
57,30,36,WNW,17,25,30.08,Fair,135
57,30,36,WNW,17,25,30.08,Fair,136
57,30,36,WNW,17,25,30.08,Fair,137
57,30,36,WNW,17,25,30.08,Fair,138
57,30,36,WNW,17,25,30.08,Fair,139
57,30,36,WNW,17,25,30.08,Fair,140
57,30,36,WNW,17,25,30.08,Fair,141
57,30,36,WNW,17,25,30.08,Fair,142
57,30,36,WNW,17,25,30.08,Fair,143
57,31,37,W,17,23,30.1,Fair,144
57,31,37,W,17,23,30.1,Fair,145
57,31,37,W,17,23,30.1,Fair,146
57,31,37,W,17,23,30.1,Fair,147
57,31,37,W,17,23,30.1,Fair,148
57,31,37,W,17,23,30.1,Fair,149
57,31,37,W,17,23,30.1,Fair,150
57,31,37,W,17,23,30.1,Fair,151
57,31,37,W,17,23,30.1,Fair,152
57,31,37,W,17,23,30.1,Fair,153
57,31,37,W,17,23,30.1,Fair,154
55,31,40,W,14,0,30.12,Fair,155
55,31,40,W,14,0,30.12,Fair,156
55,31,40,W,14,0,30.12,Fair,157
55,31,40,W,14,0,30.12,Fair,158
55,31,40,W,14,0,30.12,Fair,159
55,31,40,W,14,0,30.12,Fair,160
55,31,40,W,14,0,30.12,Fair,161
55,31,40,W,14,0,30.12,Fair,162
55,31,40,W,14,0,30.12,Fair,163
55,31,40,W,14,0,30.12,Fair,164
55,31,40,W,14,0,30.12,Fair,165
55,31,40,W,14,0,30.12,Fair,166
55,31,40,W,14,0,30.12,Fair,167
55,31,40,W,14,0,30.12,Fair,168
55,31,40,W,14,0,30.12,Fair,169
55,31,40,W,14,0,30.12,Fair,170
55,31,40,W,14,0,30.12,Fair,171
55,31,40,W,14,0,30.12,Fair,172
55,31,40,W,14,0,30.12,Fair,173
55,31,40,W,14,0,30.12,Fair,174
55,31,40,W,14,0,30.12,Fair,175
55,31,40,W,14,0,30.12,Fair,176
53,31,43,WNW,15,0,30.14,Fair,177
53,31,43,WNW,15,0,30.14,Fair,178
53,31,43,WNW,15,0,30.14,Fair,179
53,31,43,WNW,15,0,30.14,Fair,180
53,31,43,WNW,15,0,30.14,Fair,181
53,31,43,WNW,15,0,30.14,Fair,182
53,31,43,WNW,15,0,30.14,Fair,183
53,31,43,WNW,15,0,30.14,Fair,184
53,31,43,WNW,15,0,30.14,Fair,185
53,31,43,WNW,15,0,30.14,Fair,186
53,31,43,WNW,15,0,30.14,Fair,187
53,31,43,WNW,15,0,30.14,Fair,188
53,31,43,WNW,15,0,30.14,Fair,189
53,31,43,WNW,15,0,30.14,Fair,190
53,31,43,WNW,15,0,30.14,Fair,191
53,31,43,WNW,15,0,30.14,Fair,192
53,31,43,WNW,15,0,30.14,Fair,193
53,31,43,WNW,15,0,30.14,Fair,194
53,31,43,WNW,15,0,30.14,Fair,195
53,31,43,WNW,15,0,30.14,Fair,196
53,31,43,WNW,15,0,30.14,Fair,197
52,30,43,NW,16,0,30.17,Fair,198
52,30,43,NW,16,0,30.17,Fair,199
52,30,43,NW,16,0,30.17,Fair,200
52,30,43,NW,16,0,30.17,Fair,201
52,30,43,NW,16,0,30.17,Fair,202
52,30,43,NW,16,0,30.17,Fair,203
52,30,43,NW,16,0,30.17,Fair,204
52,30,43,NW,16,0,30.17,Fair,205
52,30,43,NW,16,0,30.17,Fair,206
52,30,43,NW,16,0,30.17,Fair,207
52,30,43,NW,16,0,30.17,Fair,208
52,30,43,NW,16,0,30.17,Fair,209
52,30,43,NW,16,0,30.17,Fair,210
52,30,43,NW,16,0,30.17,Fair,211
50,29,44,NW,17,0,30.2,Fair,212
50,29,44,NW,17,0,30.2,Fair,213
50,29,44,NW,17,0,30.2,Fair,214
50,29,44,NW,17,0,30.2,Fair,215
50,29,44,NW,17,0,30.2,Fair,216
50,29,44,NW,17,0,30.2,Fair,217
50,29,44,NW,17,0,30.2,Fair,218
50,29,44,NW,17,0,30.2,Fair,219
50,29,44,NW,17,0,30.2,Fair,220
50,29,44,NW,17,0,30.2,Fair,221
50,29,44,NW,17,0,30.2,Fair,222
50,29,44,NW,17,0,30.2,Fair,223
50,29,44,NW,17,0,30.2,Fair,224
50,29,44,NW,17,0,30.2,Fair,225
50,29,44,NW,17,0,30.2,Fair,226
50,29,44,NW,17,0,30.2,Fair,227
50,29,44,NW,17,0,30.2,Fair,228
50,29,44,NW,17,0,30.2,Fair,229
50,29,44,NW,17,0,30.2,Fair,230
50,29,44,NW,17,0,30.2,Fair,231
50,29,44,NW,17,0,30.2,Fair,232
50,29,44,NW,17,0,30.2,Fair,233
50,29,44,NW,17,0,30.2,Fair,234
49,30,48,NNW,12,0,30.21,Fair,235
49,30,48,NNW,12,0,30.21,Fair,236
49,30,48,NNW,12,0,30.21,Fair,237
49,30,48,NNW,12,0,30.21,Fair,238
49,30,48,NNW,12,0,30.21,Fair,239
49,30,48,NNW,12,0,30.21,Fair,240
49,30,48,NNW,12,0,30.21,Fair,241
49,30,48,NNW,12,0,30.21,Fair,242
49,30,48,NNW,12,0,30.21,Fair,243
49,30,48,NNW,12,0,30.21,Fair,244
49,30,48,NNW,12,0,30.21,Fair,245
49,30,48,NNW,12,0,30.21,Fair,246
49,30,48,NNW,12,0,30.21,Fair,247
49,30,48,NNW,12,0,30.21,Fair,248
49,30,48,NNW,12,0,30.21,Fair,249
49,30,48,NNW,12,0,30.21,Fair,250
49,30,48,NNW,12,0,30.21,Fair,251
49,30,48,NNW,12,0,30.21,Fair,252
49,30,48,NNW,12,0,30.21,Fair,253
49,30,48,NNW,12,0,30.21,Fair,254
49,30,48,NNW,12,0,30.21,Fair,255
49,30,48,NNW,12,0,30.21,Fair,256
49,30,48,NNW,12,0,30.21,Fair,257
49,30,48,NNW,12,0,30.21,Fair,258
49,30,48,NNW,12,0,30.21,Fair,259
49,30,48,NNW,12,0,30.21,Fair,260
49,30,48,NNW,12,0,30.21,Fair,261
49,30,48,NNW,12,0,30.21,Fair,262
47,30,52,NNW,15,0,30.23,Fair,263
47,30,52,NNW,15,0,30.23,Fair,264
47,30,52,NNW,15,0,30.23,Fair,265
47,30,52,NNW,15,0,30.23,Fair,266
47,30,52,NNW,15,0,30.23,Fair,267
47,30,52,NNW,15,0,30.23,Fair,268
47,30,52,NNW,15,0,30.23,Fair,269
47,30,52,NNW,15,0,30.23,Fair,270
47,30,52,NNW,15,0,30.23,Fair,271
47,30,52,NNW,15,0,30.23,Fair,272
47,30,52,NNW,15,0,30.23,Fair,273
47,30,52,NNW,15,0,30.23,Fair,274
47,30,52,NNW,15,0,30.23,Fair,275
47,30,52,NNW,15,0,30.23,Fair,276
47,30,52,NNW,15,0,30.23,Fair,277
47,30,52,NNW,15,0,30.23,Fair,278
47,30,52,NNW,15,0,30.23,Fair,279
47,30,52,NNW,15,0,30.23,Fair,280
47,30,52,NNW,15,0,30.23,Fair,281
47,30,52,NNW,15,0,30.23,Fair,282
47,30,52,NNW,15,0,30.23,Fair,283
47,30,52,NNW,15,0,30.23,Fair,284
47,30,52,NNW,15,0,30.23,Fair,285
47,30,52,NNW,15,0,30.23,Fair,286
47,30,52,NNW,15,0,30.23,Fair,287
47,30,52,NNW,15,0,30.23,Fair,288
47,30,52,NNW,15,0,30.23,Fair,289
45,30,56,NNW,9,0,30.23,Fair,290
45,30,56,NNW,9,0,30.23,Fair,291
45,30,56,NNW,9,0,30.23,Fair,292
45,30,56,NNW,9,0,30.23,Fair,293
45,30,56,NNW,9,0,30.23,Fair,294
44,29,55,NNW,12,0,30.24,Fair,295
44,29,55,NNW,12,0,30.24,Fair,296
44,29,55,NNW,12,0,30.24,Fair,297
44,29,55,NNW,12,0,30.24,Fair,298
68,67,96,S,33,47,29.55,Light Rain / Windy,299
68,67,96,S,33,47,29.55,Light Rain / Windy,300
68,67,96,S,33,47,29.55,Light Rain / Windy,301
38,31,76,ENE,3,0,30.25,Fair,302
38,31,76,ENE,3,0,30.25,Fair,303
38,31,76,ENE,3,0,30.25,Fair,304
38,31,76,ENE,3,0,30.25,Fair,305
38,32,79,NE,5,0,30.25,Fair,306
38,32,79,NE,5,0,30.25,Fair,307
38,32,79,NE,5,0,30.25,Fair,308
38,32,79,NE,5,0,30.25,Fair,309
38,32,79,NE,5,0,30.25,Fair,310
38,32,79,NE,5,0,30.25,Fair,311
38,32,79,NE,5,0,30.25,Fair,312
38,32,79,NE,5,0,30.25,Fair,313
44,34,68,NNE,6,0,30.26,Fair,314
44,34,68,NNE,6,0,30.26,Fair,315
44,34,68,NNE,6,0,30.26,Fair,316
44,34,68,NNE,6,0,30.26,Fair,317
44,34,68,NNE,6,0,30.26,Fair,318
44,34,68,NNE,6,0,30.26,Fair,319
44,34,68,NNE,6,0,30.26,Fair,320
44,34,68,NNE,6,0,30.26,Fair,321
44,34,68,NNE,6,0,30.26,Fair,322
44,34,68,NNE,6,0,30.26,Fair,323
44,34,68,NNE,6,0,30.26,Fair,324
44,34,68,NNE,6,0,30.26,Fair,325
44,34,68,NNE,6,0,30.26,Fair,326
44,34,68,NNE,6,0,30.26,Fair,327
44,34,68,NNE,6,0,30.26,Fair,328
44,34,68,NNE,6,0,30.26,Fair,329
44,34,68,NNE,6,0,30.26,Fair,330
44,34,68,NNE,6,0,30.26,Fair,331
44,34,68,NNE,6,0,30.26,Fair,332
44,34,68,NNE,6,0,30.26,Fair,333
44,34,68,NNE,6,0,30.26,Fair,334
46,33,61,NNE,9,0,30.24,Fair,335
46,33,61,NNE,9,0,30.24,Fair,336
46,33,61,NNE,9,0,30.24,Fair,337
46,33,61,NNE,9,0,30.24,Fair,338
46,33,61,NNE,9,0,30.24,Fair,339
46,33,61,NNE,9,0,30.24,Fair,340
46,33,61,NNE,9,0,30.24,Fair,341
46,33,61,NNE,9,0,30.24,Fair,342
46,33,61,NNE,9,0,30.24,Fair,343
46,33,61,NNE,9,0,30.24,Fair,344
46,33,61,NNE,9,0,30.24,Fair,345
46,33,61,NNE,9,0,30.24,Fair,346
46,33,61,NNE,9,0,30.24,Fair,347
46,33,61,NNE,9,0,30.24,Fair,348
46,33,61,NNE,9,0,30.24,Fair,349
46,33,61,NNE,9,0,30.24,Fair,350
46,33,61,NNE,9,0,30.24,Fair,351
46,33,61,NNE,9,0,30.24,Fair,352
46,33,61,NNE,9,0,30.24,Fair,353
46,33,61,NNE,9,0,30.24,Fair,354
46,33,61,NNE,9,0,30.24,Fair,355
46,33,61,NNE,9,0,30.24,Fair,356
46,33,61,NNE,9,0,30.24,Fair,357
