MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,TAIL_NUM,DEST,DEP_DELAY,CRS_ELAPSED_TIME,DISTANCE,CRS_DEP_M,DEP_TIME_M,CRS_ARR_M,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Condition,sch_dep,sch_arr,TAXI_OUT,Is_delayed
11,1,5,B6,N828JB,CHS,-1,124,636,324,323,448,48,34,58,W,25,38,29.86,Fair / Windy,9,17,14,0
11,1,5,B6,N992JB,LAX,-7,371,2475,340,333,531,48,34,58,W,25,38,29.86,Fair / Windy,9,17,15,0
11,1,5,B6,N959JB,FLL,40,181,1069,301,341,482,48,34,58,W,25,38,29.86,Fair / Windy,9,17,22,1
11,1,5,B6,N999JQ,MCO,-2,168,944,345,343,513,48,34,58,W,25,38,29.86,Fair / Windy,9,17,12,0
11,1,5,DL,N880DN,ATL,-4,139,760,360,356,499,46,32,58,W,24,35,29.91,Fair / Windy,9,17,13,0
11,1,5,AA,N983NN,ORD,-1,161,740,359,358,460,46,32,58,W,24,35,29.91,Fair / Windy,9,17,21,0
11,1,5,AA,N107NN,LAX,-1,373,2475,360,359,553,46,32,58,W,24,35,29.91,Fair / Windy,9,17,26,0
11,1,5,B6,N274JB,BUF,-5,80,301,365,360,445,46,32,58,W,24,35,29.91,Fair / Windy,17,21,11,0
11,1,5,B6,N663JB,LGB,0,368,2465,365,365,553,46,32,58,W,24,35,29.91,Fair / Windy,17,21,25,0
11,1,5,B6,N283JB,FLL,3,184,1069,370,373,554,46,32,58,W,24,35,29.91,Fair / Windy,17,21,29,0
11,1,5,B6,N962JT,LAS,-5,343,2248,381,376,544,46,32,58,W,24,35,29.91,Fair / Windy,17,21,26,0
11,1,5,AA,N901AN,DCA,-5,95,213,384,379,479,46,32,58,W,24,35,29.91,Fair / Windy,17,21,30,0
11,1,5,AA,N157UW,PHX,-4,336,2153,390,386,546,46,32,58,W,24,35,29.91,Fair / Windy,17,21,24,0
11,1,5,B6,N967JT,SFO,-3,388,2586,410,407,618,46,32,58,W,24,35,29.91,Fair / Windy,17,21,17,0
11,1,5,B6,N998JE,SJU,108,222,1598,301,409,523,46,32,58,W,24,35,29.91,Fair / Windy,17,21,16,1
11,1,5,DL,N703TW,SFO,-6,391,2586,420,414,631,47,33,59,W,24,29,30,Fair / Windy,17,21,16,0
11,1,5,DL,N192DN,SLC,-5,321,1990,419,414,620,47,33,59,W,24,29,30,Fair / Windy,17,21,25,0
11,1,5,DL,N362NB,BOS,-5,82,187,420,415,502,47,33,59,W,24,29,30,Fair / Windy,17,21,15,0
11,1,5,AA,N115NN,SFO,-3,386,2586,420,417,626,47,33,59,W,24,29,30,Fair / Windy,17,21,18,0
11,1,5,B6,N638JB,SAV,-2,143,718,419,417,562,47,33,59,W,24,29,30,Fair / Windy,17,21,14,0
11,1,5,B6,N292JB,SYR,-3,73,209,420,417,493,47,33,59,W,24,29,30,Fair / Windy,17,21,21,0
11,1,5,B6,N806JB,ATL,0,154,760,418,418,572,47,33,59,W,24,29,30,Fair / Windy,17,21,16,0
11,1,5,DL,N119DU,MSP,-2,187,1029,420,418,547,47,33,59,W,24,29,30,Fair / Windy,17,21,34,0
11,1,5,B6,N968JT,LAX,-7,379,2475,425,418,624,47,33,59,W,24,29,30,Fair / Windy,17,21,15,0
11,1,5,DL,N179DN,LAX,-1,365,2475,420,419,605,47,33,59,W,24,29,30,Fair / Windy,17,21,23,0
11,1,5,DL,N722TW,SEA,-2,373,2422,425,423,618,47,33,59,W,24,29,30,Fair / Windy,30,26,24,0
